Person ID,Name,First name,Last name,Party,Constituency,URI
25489,Gill Furniss,Gill,Furniss,Labour,"Sheffield, Brightside and Hillsborough",https://www.theyworkforyou.com/mp/25489/gill_furniss/sheffield%2C_brightside_and_hillsborough
25384,Marcus Fysh,Marcus,Fysh,Conservative,Yeovil,https://www.theyworkforyou.com/mp/25384/marcus_fysh/yeovil
25660,Hugh Gaffney,Hugh,Gaffney,Labour,"Coatbridge, Chryston and Bellshill",https://www.theyworkforyou.com/mp/25660/hugh_gaffney/coatbridge%2C_chryston_and_bellshill
10217,Roger Gale,Roger,Gale,Conservative,North Thanet,https://www.theyworkforyou.com/mp/10217/roger_gale/north_thanet
10219,Mike Gapes,Mike,Gapes,Independent,Ilford South,https://www.theyworkforyou.com/mp/10219/mike_gapes/ilford_south
10220,Barry Gardiner,Barry,Gardiner,Labour,Brent North,https://www.theyworkforyou.com/mp/10220/barry_gardiner/brent_north
24824,Mark Garnier,Mark,Garnier,Conservative,Wyre Forest,https://www.theyworkforyou.com/mp/24824/mark_garnier/wyre_forest
11633,David Gauke,David,Gauke,Conservative,South West Hertfordshire,https://www.theyworkforyou.com/mp/11633/david_gauke/south_west_hertfordshire
25633,Ruth George,Ruth,George,Labour,High Peak,https://www.theyworkforyou.com/mp/25633/ruth_george/high_peak
25324,Stephen Gethins,Stephen,Gethins,Scottish National Party,North East Fife,https://www.theyworkforyou.com/mp/25324/stephen_gethins/north_east_fife
25354,Nusrat Ghani,Nusrat,Ghani,Conservative,Wealden,https://www.theyworkforyou.com/mp/25354/nusrat_ghani/wealden
10225,Nick Gibb,Nick,Gibb,Conservative,Bognor Regis and Littlehampton,https://www.theyworkforyou.com/mp/10225/nick_gibb/bognor_regis_and_littlehampton
25300,Patricia Gibson,Patricia,Gibson,Scottish National Party,North Ayrshire and Arran,https://www.theyworkforyou.com/mp/25300/patricia_gibson/north_ayrshire_and_arran
10913,Michelle Gildernew,Michelle,Gildernew,Sinn Féin,Fermanagh and South Tyrone,https://www.theyworkforyou.com/mp/10913/michelle_gildernew/fermanagh_and_south_tyrone
25666,Preet Kaur Gill,Preet Kaur,Gill,Labour/Co-operative,"Birmingham, Edgbaston",https://www.theyworkforyou.com/mp/25666/preet_kaur_gill/birmingham%2C_edgbaston
10228,Cheryl Gillan,Cheryl,Gillan,Conservative,Chesham and Amersham,https://www.theyworkforyou.com/mp/10228/dame_cheryl_gillan/chesham_and_amersham
25629,Paul Girvan,Paul,Girvan,DUP,South Antrim,https://www.theyworkforyou.com/mp/25629/paul_girvan/south_antrim
24839,John Glen,John,Glen,Conservative,Salisbury,https://www.theyworkforyou.com/mp/24839/john_glen/salisbury
24927,Mary Glindon,Mary,Glindon,Labour,North Tyneside,https://www.theyworkforyou.com/mp/24927/mary_glindon/north_tyneside
10231,Roger Godsiff,Roger,Godsiff,Labour,"Birmingham, Hall Green",https://www.theyworkforyou.com/mp/10231/roger_godsiff/birmingham%2C_hall_green
24911,Zac Goldsmith,Zac,Goldsmith,Conservative,Richmond Park,https://www.theyworkforyou.com/mp/24911/zac_goldsmith/richmond_park
11421,Helen Goodman,Helen,Goodman,Labour,Bishop Auckland,https://www.theyworkforyou.com/mp/11421/helen_goodman/bishop_auckland
11804,Robert Goodwill,Robert,Goodwill,Conservative,Scarborough and Whitby,https://www.theyworkforyou.com/mp/11804/robert_goodwill/scarborough_and_whitby
11858,Michael Gove,Michael,Gove,Conservative,Surrey Heath,https://www.theyworkforyou.com/mp/11858/michael_gove/surrey_heath
25299,Patrick Grady,Patrick,Grady,Scottish National Party,Glasgow North,https://www.theyworkforyou.com/mp/25299/patrick_grady/glasgow_north
25625,Luke Graham,Luke,Graham,Conservative,Ochil and South Perthshire,https://www.theyworkforyou.com/mp/25625/luke_graham/ochil_and_south_perthshire
24921,Richard Graham,Richard,Graham,Conservative,Gloucester,https://www.theyworkforyou.com/mp/24921/richard_graham/gloucester
25643,Bill Grant,Bill,Grant,Conservative,"Ayr, Carrick and Cumnock",https://www.theyworkforyou.com/mp/25643/bill_grant/ayr%2C_carrick_and_cumnock
24796,Helen Grant,Helen,Grant,Conservative,Maidstone and The Weald,https://www.theyworkforyou.com/mp/24796/helen_grant/maidstone_and_the_weald
25273,Peter Grant,Peter,Grant,Scottish National Party,Glenrothes,https://www.theyworkforyou.com/mp/25273/peter_grant/glenrothes
10240,James Gray,James,Gray,Conservative,North Wiltshire,https://www.theyworkforyou.com/mp/10240/james_gray/north_wiltshire
25293,Neil Gray,Neil,Gray,Scottish National Party,Airdrie and Shotts,https://www.theyworkforyou.com/mp/25293/neil_gray/airdrie_and_shotts
10920,Chris Grayling,Chris,Grayling,Conservative,Epsom and Ewell,https://www.theyworkforyou.com/mp/10920/chris_grayling/epsom_and_ewell
25359,Chris Green,Chris,Green,Conservative,Bolton West,https://www.theyworkforyou.com/mp/25359/chris_green/bolton_west
10241,Damian Green,Damian,Green,Conservative,Ashford,https://www.theyworkforyou.com/mp/10241/damian_green/ashford
24896,Kate Green,Kate,Green,Labour,Stretford and Urmston,https://www.theyworkforyou.com/mp/24896/kate_green/stretford_and_urmston
11771,Justine Greening,Justine,Greening,Conservative,Putney,https://www.theyworkforyou.com/mp/11771/justine_greening/putney
24774,Lilian Greenwood,Lilian,Greenwood,Labour,Nottingham South,https://www.theyworkforyou.com/mp/24774/lilian_greenwood/nottingham_south
